B.1.1.7,hCoV-19^^England,Lighthouse,hCoV-19/England/MILK-B5A34F/2020,2020-11-06
B.1.1.7,hCoV-19^^England,Respiratory,hCoV-19/England/204841821/2020,2020-11-25
B.1.427,hCoV-19^^California,San,hCoV-19/USA/CA-ALSR-4704/2020,2020-09-28
B.1.427,hCoV-19^^California,San,hCoV-19/USA/CA-ALSR-5090/2020,2020-09-28
B.1.427,hCoV-19^^California,San,hCoV-19/USA/CA-ALSR-5104/2020,2020-12-03
B.1.1.7,hCoV-19^^England,Lighthouse,hCoV-19/England/ALDP-C482EC/2020,2020-12-11
B.1.1.7,hCoV-19^^England,Lighthouse,hCoV-19/England/MILK-C52FD9/2020,2020-12-12
B.1.427,hCoV-19^^California,Santa,hCoV-19/USA/CA-CZB-15112/2020,2020-11-22
B.1.427,hCoV-19^^California,Santa,hCoV-19/USA/CA-CZB-15253/2020,2020-11-24
B.1.427,hCoV-19^^California,Santa,hCoV-19/USA/CA-CZB-15013/2020,2020-11-18
B.1.427,hCoV-19^^California,Santa,hCoV-19/USA/CA-CZB-15240/2020,2020-11-24
B.1.427,hCoV-19^^California,Santa,hCoV-19/USA/CA-CZB-15979/2020,2020-12-02
B.1.427,hCoV-19^^California,Santa,hCoV-19/USA/CA-CZB-15236/2020,2020-11-24
B.1.427,hCoV-19^^California,Orange,hCoV-19/USA/CA-CZB-14678/2020,2020-11-16
B.1.427,hCoV-19^^California,Santa,hCoV-19/USA/CA-CZB-15283/2020,2020-11-29
B.1.427,hCoV-19^^California,Santa,hCoV-19/USA/CA-CZB-15255/2020,2020-11-24
B.1.427,hCoV-19^^California,Santa,hCoV-19/USA/CA-CZB-15121/2020,2020-11-23
B.1.427,hCoV-19^^California,Santa,hCoV-19/USA/CA-CZB-15947/2020,2020-11-30
B.1.427,hCoV-19^^California,Santa,hCoV-19/USA/CA-CZB-15027/2020,2020-11-18
B.1.427,hCoV-19^^California,Santa,hCoV-19/USA/CA-CZB-15961/2020,2020-11-30
